 **1. HEAD-TO-HEAD**

| Race Date | Venue | Dist | Context | Result (Today's runners) | Margin / Notes |
|-----------|-------|------|---------|--------------------------|----------------|
| 2026-07-11 | Bangalore | 1200m | RATED 40-65 | **INVINCIBLE** (5th) beat **GODDESS OF WAR** (8th) and **JOONDALUP** (6th) | INV finished best of the trio after settling 8th at the 4f marker; GOW never threatened after settling 6th. Trip, class and going identical to today. |
| 2026-07-05 | Bangalore | 1200m | RATED 40-65 | **INVINCIBLE** (6th) beat **STEFFEN** (9th) | INV closed from 8th at the 4f to 6th; STEFFEN faded from 3rd at the 4f. |
| 2026-07-05 | Bangalore | 1200m | – | **INVINCIBLE** (6th) vs **THESSALIAN** (W) / **STEFFEN** (9th) vs **THESSALIAN** (W) | THESSALIAN withdrawn — run excluded entirely from form. |
| 2026-06-20 | Bangalore | 1400m | RATED 40-65 | **VALIANT STREAM** (5th) beat **GODDESS OF WAR** (9th) | VS sat 2nd early; GOW led at the 1.5f then weakened. VS had a slowly-away flag this day yet still outran GOW. |
| 2026-05-09 | Bangalore | 1300m | RATED 40-65 | **THESSALIAN** (4th) beat **INVINCIBLE** (7th) and **KISS OF GREY** (8th) | THESSALIAN best of the three on a trip 100m longer than today. |
| 2026-05-03 | Bangalore | 1200m | RATED 40-65 | **SMALL DREAMS** (6th) beat **INVINCIBLE** (11th) | Both were well beaten; SMALL DREAMS was far less tardy. |
| 2025-11-29 | Bangalore | 1100m | RATED 40-65 | **THESSALIAN** (2nd) beat **GODDESS OF WAR** (7th) | THESSALIAN 2nd at level weights; GOW never threatened after settling 6th. |
| 2025-11-01 | Bangalore | 1200m | MAIDEN | **ZEPHYRINE** (4th) beat **STEFFEN** (5th) | NZ beaten less than a length in a maiden; both have improved since. |
| 2025-10-09 | Mysore | 1400m | MAIDEN | **GODDESS OF WAR** (1st) beat **VALIANT STREAM** (7th) | GOW won by a wide margin on a different track; VS was a maiden. |

**Implication:** INVINCIBLE has the clearest recent H2H edge over GOW and JOONDALUP (11-Jul-1200). SMALL DREAMS has also finished ahead of INVINCIBLE at the trip. THESSALIAN held the measure of INVINCIBLE and KISS OF GREY at 1300m earlier in the season.

---

**2. RUNNING STYLES**

**Classifications**
- **Front-runners:** KISS OF GREY, STEFFEN
- **Stalkers / Pressers:** SMALL DREAMS, JOONDALUP, VALIANT STREAM, THESSALIAN
- **Mid-field Closers:** ZEPHYRINE, GODDESS OF WAR
- **Deep Closers:** INVINCIBLE, LASYA

**Likely Pace Scenario**
SMALL DREAMS (1), JOONDALUP (2) and KISS OF GREY (3) all possess gate speed and draw inside. KISS OF GREY prefers to lead, while SMALL DREAMS likes to sit 2nd/3rd. JOONDALUP can either lead or box-seat. STEFFEN (6) will have to burn energy from an outside gate to lead, inviting pressure. INVINCIBLE (9) and VALIANT STREAM (10) are drawn wide and will settle towards the rear. With at least three earnest speed horses inside and a front-runner in STEFFEN pushing across from mid-draw, the pace should be **genuine to strong**. No-whip conditions favour the tractable stalkers (SMALL DREAMS, JOONDALUP, ZEPHYRINE) over deep closers who need heavy urging to thread through late traffic (INVINCIBLE, LASYA).

**Key Runs (most recent first)**

*GODDESS OF WAR* — Mid-field closer / beneficiary of hard pace. Not a lead horse; SLOWLY AWAY on 20-Jun-2026 downgrades any front-running thought. Gate impact: Drawn 8 today versus 4 last time — farther back than ideal; likely to settle worse than midfield and encounter traffic.
- 09-Oct-2025 | 1400m | Pos:1 | Odds:4/10 | Draw:? | [TOTE FAV] MAIDEN
- **VALIANT STREAM:** AWKARD_JUMP @AT_START on 2026-05-10 (Bangalore 1400m). VETERINARY_EXAM post-race same day. SLOWLY AWAY on 2026-06-20 (raw stewards). **Implication:** Not a reliable gate horse; do not expect him to lead or land a forward spot from gate 10 today.
- **INVINCIBLE:** AWKWARD_JUMP @AT_START on 2025-11-22 and 2025-03-14. VETERINARY_EXAM post-race on 2025-02-07. STEWARDS_INQUERY post-race on 2025-11-29. **Implication:** Prone to bad starts; front-running assumptions must be downgraded. Treat as a back-marker early.
- **SMALL DREAMS:** AWKWARD_JUMP @AT_START on 2025-11-15. Isolated incident; recent starts appear clean.
- **THESSALIAN:** INJURY_SUSTAINED on 2025-11-29 — superficial clip injury on left hock. VETERINARY_EXAM on 2025-08-01. WITHDRAWN (Pos:W) on 2026-07-05 — **run excluded from form**. FITNESS CERTIFICATE REQUIRED on 2026-05-30.
- **GODDESS OF WAR:** SLOWLY AWAY on 2026-06-20. Saddle shifted back after jumping out on 2026-07-11; FITNESS CERTIFICATE REQUIRED post-race.
- **STEFFEN / JOONDALUP / ZEPHYRINE / KISS OF GREY / LASYA:** No SLOWLY_AWAY, AWKWARD_JUMP, DETACHED or WITHDRAWAL_VET flags in supplied data.

**B) DISCIPLINE INCIDENTS (count summary)**
- **Field total:** 16 jockey/trainer sanctions recorded.
- Breakdown: JOCKEY_REPRIMAND — 8; JOCKEY_FINE — 4; TRAINER_FINE — 2; plus 2 steward-admonished actions folded into incident reports.
- By horse: THESSALIAN (4), ZEPHYRINE (3), GODDESS OF WAR (2), INVINCIBLE (2), STEFFEN (2), KISS OF GREY (2 trainer fines), VALIANT STREAM (1). JOONDALUP, SMALL DREAMS, LASYA — 0.

---

**8. RAW STEWARDS REPORTS**

*VALIANT STREAM*
- 20-Jun-2026 | BANGALORE | 1400M — *"Near the 300 meters, Jockey Akshay Kumar, the rider of VALIANT STREAM was fined Rs.5000 for shifting 'in' and tightening GLORIOUS STRIDES (Neeraj Rawal) onto GODDESS OF WAR (Vivek."*  
  **Flags:** SLOWLY AWAY
- 31-May-2026 | BANGALORE | 1300M — *"Routine Sample was taken for analysis from the winner b c VALIANT STREAM."*  
  **Flags:** FITNESS CERTIFICATE REQUIRED, BLOOD VESSEL

*JOONDALUP*
- 22-Feb-2026 | MUMBAI | 1200M — *"At the start CHARLIE BROWN (Akshay Kumar drawn 9) jumped inwards, at the same time JOONDALUP (P."*  
  **Flags:** HANGING IN/OUT

*INVINCIBLE*
- 11-Jul-2026 | BANGALORE | 1200M — *"INVINCIBLE (P."*  
  **Flags:** FITNESS CERTIFICATE REQUIRED
- 05-Jul-2026 | BANGALORE | 1200M — *"Near the 950 metres INVINCIBLE (Kiran Rai P) changed strides."*

*SMALL DREAMS*
- 11-Jul-2026 | BANGALORE | 1400M — *"On jumping away SMALL DREAMS (K."*
- 15-Nov-2025 | BANGALORE | 1200M — *"SMALL DREAMS (Aleemuddin) jumped awkwardly inwards and inconvenienced GOLDEN TIME (K."*

*THESSALIAN*
- 30-May-2026 | BANGALORE | 1200M — *"Shortly after the start ROYAL DECCAN(Aleemuddin) & THESSALIAN(Vivek."*  
  **Flags:** FITNESS CERTIFICATE REQUIRED

*STEFFEN*
- 05-Jul-2026 | BANGALORE | 1200M — *"Shortly after the jump STEFFEN (S."*
- 21-Jun-2026 | BANGALORE | 1100M — *"Routine Sample was taken for analysis from the winner b f STEFFEN."*

*GODDESS OF WAR*
- 11-Jul-2026 | BANGALORE | 1200M — *"G, the rider of GODDESS OF WAR reported that the saddle shifted back after jumping 'out' at the start this placed Jockey Vivek G in difficulty riding his mount."*  
  **Flags:** FITNESS CERTIFICATE REQUIRED
- 20-Jun-2026 | BANGALORE | 1400M — *"Near the 300 meters, Jockey Akshay Kumar, the rider of VALIANT STREAM was fined Rs.5000 for shifting 'in' and tightening GLORIOUS STRIDES (Neeraj Rawal) onto GODDESS OF WAR (Vivek."*  
  **Flags:** SLOWLY AWAY

*KISS OF GREY*
- 13-Jun-2026 | BANGALORE | 1600M — *"Rajesh Narredu was fined Rs.2,000/- for presenting his charge KISS OF GREY (A. Nearing the 400 meters laid 'in' onto the hind quarters of KISS OF GREY (A."*  
  **Flags:** CLEARED ON EXAM, HANGING IN/OUT
- 26-Jul-2025 | BANGALORE | 1500M — *"Routine Sample was taken for analysis from the winner gr f KISS OF GREY."*  
  **Flags:** FITNESS CERTIFICATE REQUIRED

*LASYA*
- No stewards reports found.

---

**FIELD ASSESSMENT**

**A) Likely Pace Scenario**
Three inside speed/stalker types — SMALL DREAMS (1), JOONDALUP (2) and KISS OF GREY (3) — will contest the early lead. STEFFEN (6) will cross from mid-to-wide, adding pressure, but he is climbing sharply in class and likely to overdo it. INVINCIBLE (9) and VALIANT STREAM (10) will be deepest early. The pace should be at least **honest**, which will suit the stalkers (SMALL DREAMS, JOONDALUP, ZEPHYRINE) far more than the deep closers. No-whip conditions rob lunging deep closers of their key weapon; horses that are already poised at the 400m pole have a structural edge today.

**B) Winner Profile That Fits**
A tractable stalker drawn 1–5, proven at 1200m, capable of surfing the rail/inner trail behind a contested pace, then finishing under hands-and-heels drive. Preferably with competition-validated form in the last 60 days.

**C) Field Ranking (Top 5)**

1. **SMALL DREAMS** — Gate 1 is the key asset with rails out 5.5m; he has won from a stalking trip at 1200m before, and his competition form is validated by WINFIELD’s subsequent good performances. No fitness red flags, and the no-whip stipulation helps a naturally handy horse.
2. **JOONDALUP** — Gate 2 ensures a soft run just behind the pace. Former Group-placed speed who can pounce on a strong pace. Recent 1200m form is only fair, but the draw and class edge keep him right in the finish.
3. **ZEPHYRINE** — Best 1200m record in the race (2 wins, 3rd, multiple 4ths). Drawn 7 is not ideal, yet she has won from gate 6 previously and she is a genuine, tractable closer rather than a deep burier. Form validated by subsequent good performances from SOLARA and VEGATHA.
4. **THESSALIAN** — Former 1200m winner and Group 1 1400m winner brings class. Drawn 4 lands him midfield with cover, and he handles Good-to-Soft if the surface changes. Has only been narrowly beaten by quality horses in the past.
5. **INVINCIBLE** — Owns the fastest closing sectionals in the data (22.3s last 400m) and beat GOW/JOONDALUP H2H last time. Kept fifth only because gate 9 plus no-whip makes him sweat for every inch; he is the prime danger if the leaders overdo it early.

**D) Danger Horses Outside Top 5 if Pace / Weight Changes**
- **LASYA:** Undefeated in two starts and beat subsequent winners in both races. If she can settle closer than 7th from gate 5, her turn of foot is real. Danger if the pace collapses.
- **KISS OF GREY:** If she steals an uncontested lead in a slowly-run race, her 1500m stamina could see her pinch a place. Trip is against, but gate 3 helps.
- **VALIANT STREAM:** If the going firms right up and the wide gate (10) matters less on a fast surface, he could close into a place — but he is unproven at 1200m.

**E) Horses to Oppose (and Why)**

- **STEFFEN:** No-whip front-runner drawn 6, climbing from Class 00-25 to 40-65. His only 40-65 1200m effort was a 9th from gate 8 after being prominent early. He will overrace from the wide gate and give best in the straight.
- **GODDESS OF WAR:** Saddle-shifted at the start last run; FITNESS CERTIFICATE REQUIRED; SLOWLY AWAY on 20-Jun; two recent 1200m runs in this class yielded 8th and 9th. Sectionals are fast in defeat but she does not position herself to win.
- **VALIANT STREAM:** Drawn 10 at a 1200m Bangalore rail-out meeting is a stone-cold path disadvantage; on the evidence he needs 1400m; SLOWLY AWAY last start adds gate doubts. Too many negatives to offset.
- **KISS OF GREY:** A proven miler/front-runner trying to stretch down to 1200m against genuine Bangalore speed. Only 1200m run produced a midfield finish in Open company, and she will be pressured by SMALL DREAMS/JOONDALUP from the jump. Trip and tactical set-up oppose her.
